日期,确诊人数,死亡人数,治愈人数,新增确诊人数,死亡率,治愈率
2020.01.28,57,0,3,0,0.00,5.26
2020.01.29,74,0,3,13,0.00,4.05
2020.01.30,98,0,6,22,0.00,6.12
2020.01.31,124,0,11,20,0.00,8.87
2020.02.01,139,0,11,13,0.00,7.91
2020.02.02,149,1,11,10,0.67,7.38
2020.02.03,154,1,12,5,0.65,7.79
2020.02.04,177,1,19,22,0.56,10.73
2020.02.05,201,1,21,14,0.50,10.45
2020.02.06,225,1,25,24,0.44,11.11
2020.02.07,273,1,27,48,0.37,9.89
2020.02.08,299,1,29,26,0.33,9.70
2020.02.09,313,1,30,14,0.32,9.58
2020.02.10,385,1,36,72,0.26,9.35
2020.02.11,397,1,44,12,0.25,11.08
2020.02.12,444,1,50,47,0.23,11.26
2020.02.13,505,2,56,61,0.40,11.09
2020.02.14,516,2,59,11,0.39,11.43
2020.02.15,601,3,61,85,0.50,10.15
2020.02.16,687,3,84,78,0.44,12.23
2020.02.17,800,3,88,104,0.38,11.00
2020.02.18,904,3,114,104,0.33,12.61
2020.02.19,1018,3,127,104,0.29,12.48
2020.02.20,1096,8,127,78,0.73,11.59
2020.02.21,1231,11,142,133,0.89,11.54
2020.02.22,1528,14,154,156,0.92,10.08
2020.02.23,1895,22,155,265,1.16,8.18
2020.02.24,2286,32,173,368,1.40,7.57
2020.02.25,2575,40,192,224,1.55,7.46
2020.02.26,3085,51,220,492,1.65,7.13
2020.02.27,3945,64,310,863,1.62,7.86
2020.02.28,4947,80,360,998,1.62,7.28
2020.02.29,6305,95,455,1349,1.51,7.22
2020.03.01,7342,112,1020,1033,1.53,13.89
2020.03.02,9628,152,558,2285,1.58,5.80
2020.03.03,12047,184,895,2461,1.53,7.43
2020.03.04,13897,236,909,2226,1.70,6.54
2020.03.05,16234,296,1087,2572,1.82,6.70
2020.03.06,19378,365,1556,3691,1.88,8.03
2020.03.07,22903,451,1720,3443,1.97,7.51
2020.03.08,26959,561,3208,3403,2.08,11.90
2020.03.09,30814,766,3614,4913,2.49,11.73
2020.03.10,35796,977,4212,5018,2.73,11.77
